f, V, scala_V,  t, scala_t, auto
1.5, 1010, 200, 9.8, 2.5, 5.4
3, 992, 200, 9.5, 2.5, 10.7
5, 968, 200, 9.2, 2.5, 17.2
9, 888, 200, 8.64, 1, 27.8
13, 792, 200, 7.96, 1, 37.4
16, 728, 200, 7.56, 1, 42.6
17, 704, 200, 7.36, 1, 44.6
20, 644, 100, 6.94, 0.5, 50.4
27, 532, 100, 5.92, 0.5, 57.8
38, 408, 100, 4.82, 0.5, 65.2
50, 320, 100, 3.96, 0.5, 70.7
70, 240, 100, 3, 0.5, 75.6
95, 184, 50, 2.28, 0.25, 77.8
130, 136, 20, 1.7, 0.25, 80
2.5, 1010, 200, 9.6, 2.5, 7.92
7, 944, 200, 8.9, 2.5, 22.1
